Participant,cluster,question,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9
1,0,School,"Erasmus School of History, Culture and Communication (ESHCC)",NA,NA,NA,NA,NA,NA,NA,NA
1,0,Department,History,NA,NA,NA,NA,NA,NA,NA,NA
1,0,Position,PhD candidate,NA,NA,NA,NA,NA,NA,NA,NA
1,1,"In your opinion, how important is Open Access for your work?",Extremely important,NA,NA,NA,NA,NA,NA,NA,NA
1,1,What is your experience with Open Access?,I have extensive experience with Open Access publishing,NA,NA,NA,NA,NA,NA,NA,NA
1,1,The following are possible concerns that researchers could have about Open Access publishing. Which of these concerns would you agree with?,Green OA (self-archiving): Some journals might not publish findings that are uploaded to a pre-publication archive,Green OA (self-archiving): Non-peer-reviewed findings might add noise to the literature,Green OA (self-archiving): Making my work available pre-publication might reduce the number of citations to the ultimately published work,"Green OA (self-archiving): Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis, revisions to hypotheses) between the original conception of the research and the ultimately published work",NA,NA,NA,NA,NA
1,1,Is there anything you want to share with us regarding your experiences with Open Access?,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,"In your opinion, how important are open data, materials, and/or code for your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
1,2,"What is your experience with using open data, materials, and/or code developed by others?","I have some experience with open data, materials, and/or code developed by others, but do not use them regularly",NA,NA,NA,NA,NA,NA,NA,NA
1,2,"What is your experience with openly sharing data, materials, and/or code that you developed?","I am aware of open data, materials, and/or code, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
1,2,Are you familiar with the FAIR principles for data and code?,"I have some experience with the FAIR principles, but do not follow them regularly",NA,NA,NA,NA,NA,NA,NA,NA
1,2,"The following are possible concerns that researchers could have about making data, materials, and/or code developed by them openly available. Which of these concerns would you agree with?","Others might find it difficult to understand my data, materials, and/or code","Reuse of my data, materials, and/or code could violate the epistemological framework of my research",NA,NA,NA,NA,NA,NA,NA
1,3,"In your opinion, how important is preregistration for your work?",Not at all important,NA,NA,NA,NA,NA,NA,NA,NA
1,3,What is your experience with study preregistration?,"Until now, I was unaware of study preregistration",NA,NA,NA,NA,NA,NA,NA,NA
1,3,The following are possible concerns that researchers could have about preregistering their studies. Which of these concerns would you agree with?,Preregistration prevents exploratory research,Preregistration stifles research creativity or flexibility,Preregistration might lead to other people taking my research idea and implementing my plan,Preregistration might make it more difficult to publish in certain journals,"It might take too much time, effort, and resources",NA,NA,NA,NA
1,4,"In your opinion, how important are open educational resources for your work?",Slightly important,NA,NA,NA,NA,NA,NA,NA,NA
1,4,What is your experience with using open educational resources developed by others?,"I am aware of open educational resources developed by others, but have not used them",NA,NA,NA,NA,NA,NA,NA,NA
1,4,What is your experience with openly sharing educational resources that you developed?,"I am aware of open educational resources, but have not shared my own",NA,NA,NA,NA,NA,NA,NA,NA
1,4,The following are possible concerns that researchers could have about making educational resources developed by them openly available. Which of these concerns would you agree with?,Others might find it difficult to understand my educational resources,I might not receive appropriate credit for my educational resources if I make them openly available,There could be issues related to intellectual property,"It might take too much time, effort, and resources",NA,NA,NA,NA,NA
1,5,"In your opinion, how important is to have an open dialogue with society in your work?",Moderately important,NA,NA,NA,NA,NA,NA,NA,NA
1,5,What is your experience engaging with society?,"I am aware of engaging with society, but have not done it",NA,NA,NA,NA,NA,NA,NA,NA
1,5,The following are possible concerns that researchers could have about engaging with society. Which of these concerns would apply to you?,"It might require too much time, effort, and resources",Designing the research might become too complex,Some societal actors might have ideas that are too difficult to implement,I might lose control of my research project,There could be issues related to intellectual property,NA,NA,NA,NA
1,6,Do you expect EUR to support you in learning open science practices?,Yes,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Which of the following open science practices would you like EUR to provide information or support for?,"Open data, materials, and/or code",Open educational resources,Open engagement of societal actors,NA,NA,NA,NA,NA,NA
1,6,What support services provided at EUR have you used to make your data FAIR?,I attended a workshop on research data management,I looked up relevant information on the EUR website,NA,NA,NA,NA,NA,NA,NA
1,7,Do you feel recognized and rewarded by EUR (e.g. in the R&O cycle or appraisal conversation) for the Open Science activities you undertake?,I don't know/prefer not to answer,NA,NA,NA,NA,NA,NA,NA,NA
1,7,In what way were you recognized and rewarded?,NA,NA,NA,NA,NA,NA,NA,NA,NA
